Name,MarketCap,Stock,Country,Sector,Industry
Regions Financial Corporation,$21.32 B,RF,United States,Financials,Banks
Wheaton Precious Metals Corp.,$21.26 B,WPM,Canada,Basic Materials,Gold
ZoomInfo Technologies Inc.,$21.23 B,ZI,United States,Technology,Software—Application
ViacomCBS Inc.,$21.22 B,VIACA,United States,Communication Services,Entertainment
China Northern Rare Earth,$21.21 B,600111,China,Basic Materials,Other Industrial Metals & Mining
Seagate Technology plc,$21.21 B,STX,Ireland,Technology,Computer Hardware
China Mengniu Dairy Co Ltd,$21.17 B,2319,Hong Kong,Consumer Staples,Packaged Foods
Ingersoll Rand Inc.,$21.13 B,IR,United States,Industrials,Specialty Industrial Machinery
SEGRO plc,$21.08 B,SGRO,United Kingdom,Real Estate,REIT—Industrial
Yandex N.V.,$21.05 B,YNDX,Netherlands,Communication Services,Internet Content & Information
Microchip Technology Incorporated,$21.03 B,MCHP,United States,Technology,Semiconductors
"HubSpot, Inc.",$20.93 B,HUBS,United States,Technology,Software—Application
"FLEETCOR Technologies, Inc.",$20.92 B,FLT,United States,Technology,Information Technology Services
Fortive Corporation,$20.88 B,FTV,United States,Technology,Scientific & Technical Instruments
AppLovin Corp,$20.86 B,APP,United States,Technology,Software—Application
Royal Caribbean Cruises Ltd.,$20.81 B,RCL,United States,Consumer Discretionary,Travel Services
Repsol SA,$20.80 B,REP,Spain,Energy,Oil & Gas Integrated
Marubeni Corp,$20.78 B,8002,Japan,Industrials,Conglomerates
Standard Chartered plc,$20.78 B,STAN,United Kingdom,Financials,Banks
Li Ning Co Ltd,$20.75 B,2331,China,Consumer Discretionary,Leisure
CMS Energy Corporation,$20.73 B,CMS,United States,Utilities,Utilities—Regulated Electric
STERIS Corp,$20.66 B,S1TE34,United States,Healthcare,Medical Devices
Advanced Info Service PCL,$20.65 B,ADVANC,Thailand,Communication Services,Telecom Services
Kyocera Corp,$20.62 B,6971,Japan,Technology,Consumer Electronics
Pembina Pipeline Corporation,$20.61 B,PPL,Canada,Energy,Oil & Gas Midstream
Flutter Entertainment plc,$20.58 B,FLTR,Ireland,Consumer Discretionary,Gambling
Sojitz Corp,$20.55 B,2768,Japan,Industrials,Conglomerates
"Boston Properties, Inc.",$20.54 B,BXP,United States,Real Estate,REIT—Office
